순번,영화명,감독,제작사,수입사,배급사,개봉일,영화형태,국적,전국 매출액,전국 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,장편,한국,1.35748E+11,17613682,사극,15세이상관람가,일반영화
2,극한직업,이병헌,(주)어바웃필름 영화사 해그림 주식회사 (주)씨제이이엔엠,,(주)씨제이이엔엠,2019-01-23,장편,한국,1.39648E+11,16264944,코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주) (주)덱스터스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,장편,한국,1.15699E+11,14410754,판타지,12세이상관람가,일반영화
4,국제시장,윤제균,(주)제이케이필름 (주)씨제이이엔엠,,(주)씨제이이엔엠,2014-12-17,장편,한국,1.10828E+11,14245998,드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,안소니 루소 조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,장편,미국,1.22183E+11,13934592,액션,12세이상관람가,일반영화
6,겨울왕국 2,크리스 벅 제니퍼 리,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,장편,미국,1.1481E+11,13747792,애니메이션,전체관람가,일반영화
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주),2009-12-17,장편,미국,1.28447E+11,13624328,SF,12세이상관람가,독립/예술영화
8,베테랑,류승완,(주)외유내강 (주)필름케이,,(주)씨제이이엔엠,2015-08-05,장편,한국,1.05025E+11,13395400,액션,15세이상관람가,일반영화
9,괴물,봉준호,영화사청어람(주),,(주)쇼박스,2006-07-27,장편,한국,0,13019740,SF,12세관람가,일반영화
10,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,장편,한국,93665568500,12983330,액션,15세이상관람가,일반영화
11,7번방의 선물,이환경,(주)화인웍스 (주)씨엘엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,장편,한국,91431914670,12811206,코미디,15세이상관람가,일반영화
12,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,장편,한국,98463132781,12705700,액션,15세이상관람가,일반영화
13,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,장편,미국,1.06984E+11,12555894,어드벤처,전체관람가,일반영화
14,광해  왕이 된 남자,추창민,리얼라이즈픽쳐스(주) (주)씨제이이엔엠,,(주)씨제이이엔엠,2012-09-13,장편,한국,88900208769,12319542,사극,15세이상관람가,일반영화
15,왕의 남자,이준익,(주)씨네월드 (주)이글픽쳐스,,(주)시네마서비스,2005-12-29,장편,한국,0,12302831,드라마,15세이상관람가,일반영화
16,신과함께-인과 연,김용화,리얼라이즈픽쳐스(주) (주)덱스터스튜디오,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,장편,한국,1.02477E+11,12253247,판타지,12세이상관람가,일반영화
17,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,장편,한국,95284747049,12099971,드라마,15세이상관람가,일반영화
18,태극기 휘날리며,강제규,강제규필름,,(주)다자인소프트 (주)쇼박스,2004-02-05,장편,한국,0,11746135,전쟁,15세관람가,일반영화
19,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,장편,한국,93175877048,11565078,액션,15세이상관람가,일반영화
20,해운대,윤제균,(주)제이케이필름,,CJ ENM,2009-07-22,장편,한국,81934638201,11453338,액션,12세이상관람가,일반영화
21,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,장편,한국,82856578300,11372451,드라마,15세이상관람가,일반영화
22,어벤져스: 인피니티 워,안소니 루소 조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,99919006769,11211880,액션,12세이상관람가,일반영화
23,실미도,강우석,(주)시네마서비스,,(주)시네마서비스,2003-12-24,장편,한국,0,11081000,전쟁,15세관람가,일반영화
24,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아 유한책임회사 월트디즈니컴퍼니코리아(주),2015-04-23,장편,미국,88582586366,10494499,액션,12세이상관람가,일반영화
25,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,장편,한국,87459829095,10313086,드라마,15세이상관람가,일반영화
26,겨울왕국,크리스 벅 제니퍼 리,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,82461504400,10296101,애니메이션,전체관람가,일반영화
27,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,장편,미국,82274331200,10273803,SF,12세이상관람가,일반영화
